Overall rank;Country or region;Score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
1;Finland;7769;1340;1587;1;596;153;1
2;Denmark;7600;1383;1573;1;592;252;1
3;Norway;7554;1488;1582;1;603;271;1
4;Iceland;7494;1380;1624;1;591;354;1
5;Netherlands;7488;1396;1522;1;557;322;1
6;Switzerland;7480;1452;1526;1;572;263;1
7;Sweden;7343;1387;1487;1;574;267;1
8;New Zealand;7307;1303;1557;1;585;330;1
9;Canada;7278;1365;1505;1;584;285;1
10;Austria;7246;1376;1475;1;532;244;1
11;Australia;7228;1372;1548;1;557;332;1
12;Costa Rica;7167;1034;1441;1;558;144;1
13;Israel;7139;1276;1455;1;371;261;1
14;Luxembourg;7090;1609;1479;1;526;194;1
15;United Kingdom;7054;1333;1538;1;450;348;1
16;Ireland;7021;1499;1553;1;516;298;1
17;Germany;6985;1373;1454;1;495;261;1
18;Belgium;6923;1356;1504;1;473;160;1
19;United States;6892;1433;1457;1;454;280;1
20;Czech Republic;6852;1269;1487;1;457;46;1
21;United Arab Emirates;6825;1503;1310;1;598;262;1
22;Malta;6726;1300;1520;1;564;375;1
23;Mexico;6595;1070;1323;1;433;74;1
24;France;6592;1324;1472;1;436;111;1
25;Taiwan;6446;1368;1430;1;351;242;1
26;Chile;6444;1159;1369;1;357;187;1
27;Guatemala;6436;800;1269;1;535;175;1
28;Saudi Arabia;6375;1403;1357;1;439;80;1
29;Qatar;6374;1684;1313;1;555;220;1
30;Spain;6354;1286;1484;1;362;153;1
31;Panama;6321;1149;1442;1;516;109;1
32;Brazil;6300;1004;1439;1;390;99;1
33;Uruguay;6293;1124;1465;1;523;127;1
34;Singapore;6262;1572;1463;1;556;271;1
35;El Salvador;6253;794;1242;1;430;93;1
36;Italy;6223;1294;1488;1;231;158;1
37;Bahrain;6199;1362;1368;1;536;255;1
38;Slovakia;6198;1246;1504;1;334;121;1
39;Trinidad & Tobago;6192;1231;1477;1;489;185;1
40;Poland;6182;1206;1438;1;483;117;1
41;Uzbekistan;6174;745;1529;1;631;322;1
42;Lithuania;6149;1238;1515;1;291;43;1
43;Colombia;6125;985;1410;1;470;99;1
44;Slovenia;6118;1258;1523;1;564;144;1
45;Nicaragua;6105;694;1325;1;435;200;1
46;Kosovo;6100;882;1232;1;489;262;1
47;Argentina;6086;1092;1432;1;471;66;1
48;Romania;6070;1162;1232;1;462;83;1
49;Cyprus;6046;1263;1223;1;406;190;1
50;Ecuador;6028;912;1312;1;498;126;1
51;Kuwait;6021;1500;1319;1;493;142;1
52;Thailand;6008;1050;1409;1;557;359;1
53;Latvia;5940;1187;1465;1;264;75;1
54;South Korea;5895;1301;1219;1;159;175;1
55;Estonia;5893;1237;1528;1;495;103;1
56;Jamaica;5890;831;1478;1;490;107;1
57;Mauritius;5888;1120;1402;1;498;215;1
58;Japan;5886;1327;1419;1;445;69;1
59;Honduras;5860;642;1236;1;507;246;1
60;Kazakhstan;5809;1173;1508;1;410;146;1
61;Bolivia;5779;776;1209;1;511;137;1
62;Hungary;5758;1201;1410;1;199;81;1
63;Paraguay;5743;855;1475;1;514;184;1
64;Northern Cyprus;5718;1263;1252;1;417;191;1
65;Peru;5697;960;1274;1;455;83;1
66;Portugal;5693;1221;1431;1;508;47;1
67;Pakistan;5653;677;886;1;313;220;1
68;Russia;5648;1183;1452;1;334;82;1
69;Philippines;5631;807;1293;1;558;117;1
70;Serbia;5603;1004;1383;1;282;137;1
71;Moldova;5529;685;1328;1;245;181;1
72;Libya;5525;1044;1303;1;416;133;1
73;Montenegro;5523;1051;1361;1;197;142;1
74;Tajikistan;5467;493;1098;1;389;230;1
75;Croatia;5432;1155;1266;1;296;119;1
76;Hong Kong;5430;1438;1277;1;440;258;1
77;Dominican Republic;5425;1015;1401;1;497;113;1
78;Bosnia and Herzegovina;5386;945;1212;1;212;263;1
79;Turkey;5373;1183;1360;1;195;83;1
80;Malaysia;5339;1221;1171;1;508;260;1
81;Belarus;5323;1067;1465;1;235;94;1
82;Greece;5287;1181;1156;1;67;0;1
83;Mongolia;5285;948;1531;1;317;235;1
84;North Macedonia;5274;983;1294;1;345;185;1
85;Nigeria;5265;696;1111;1;426;215;1
86;Kyrgyzstan;5261;551;1438;1;508;300;1
87;Turkmenistan;5247;1052;1538;1;394;244;1
88;Algeria;5211;1002;1160;1;86;73;1
89;Morocco;5208;801;782;1;418;36;1
90;Azerbaijan;5208;1043;1147;1;351;35;1
91;Lebanon;5197;987;1224;1;216;166;1
92;Indonesia;5192;931;1203;1;491;498;1
93;China;5191;1029;1125;1;521;58;1
94;Vietnam;5175;741;1346;1;543;147;1
95;Bhutan;5082;813;1321;1;457;370;1
96;Cameroon;5044;549;910;1;381;187;1
97;Bulgaria;5011;1092;1513;1;311;81;1
98;Ghana;4996;611;868;1;381;245;1
99;Ivory Coast;4944;569;808;1;352;154;1
100;Nepal;4913;446;1226;1;439;285;1
101;Jordan;4906;837;1225;1;383;110;1
102;Benin;4883;393;437;1;349;175;1
103;Congo (Brazzaville);4812;673;799;1;372;105;1
104;Gabon;4799;1057;1183;1;295;43;1
105;Laos;4796;764;1030;1;547;266;1
106;South Africa;4722;960;1351;1;389;130;1
107;Albania;4719;947;848;1;383;178;1
108;Venezuela;4707;960;1427;1;154;64;1
109;Cambodia;4700;574;1122;1;609;232;1
110;Palestinian Territories;4696;657;1247;1;225;103;1
111;Senegal;4681;450;1134;1;292;153;1
112;Somalia;4668;0;698;1;559;243;1
113;Namibia;4639;879;1313;1;401;70;1
114;Niger;4628;138;774;1;318;188;1
115;Burkina Faso;4587;331;1056;1;255;177;1
116;Armenia;4559;850;1055;1;283;95;1
117;Iran;4548;1100;842;1;305;270;1
118;Guinea;4534;380;829;1;332;207;1
119;Georgia;4519;886;666;1;346;43;1
120;Gambia;4516;308;939;1;382;269;1
121;Kenya;4509;512;983;1;431;372;1
122;Mauritania;4490;570;1167;1;66;106;1
